BGI	Treat	Tissue
C1	0	Haemocytes
C2	0	Haemocytes
C3	0	Haemocytes
C4	0	Haemocytes
C5	B.bassiana	Haemocytes
C6	B.bassiana	Haemocytes
C7	B.bassiana	Haemocytes
C8	B.bassiana	Haemocytes
C9	M.robertsii	Haemocytes
C10	M.robertsii	Haemocytes
C11	M.robertsii	Haemocytes
C12	M.robertsii	Haemocytes
C13	0	FatBody
C14	0	FatBody
C15	0	FatBody
C16	0	FatBody
C17	B.bassiana	FatBody
C18	B.bassiana	FatBody
C19	B.bassiana	FatBody
C20	B.bassiana	FatBody
C21	M.robertsii	FatBody
C22	M.robertsii	FatBody
C23	M.robertsii	FatBody
C24	M.robertsii	FatBody
