0	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C1	C20	C21	C22	C23	C24	C2	C3	C4	C5	C6	C7	C8	C9
gene-LOC111510750	0	1	0	0	1	1	2	0	1	0	0	3	0	3	0	6	0	0	0	1	0	1	0	0
gene-LOC111502381	0	0	0	0	0	1	1	20	0	2	2	4	1	2	0	0	0	0	0	0	1	0	0	0
gene-LOC111503276	62	56	64	115	88	31	72	88	78	94	73	95	57	25	117	153	21	28	41	37	29	58	31	59
gene-LOC111518046	1	1	1	1	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1
gene-LOC111507726	148	21	1	1	1	0	1	1	0	0	0	0	2	0	2	1	0	1	0	2	1	38	13	13
gene-LOC111508619	1176	638	671	268	199	282	302	225	182	224	1323	226	130	68	225	360	636	781	787	888	779	924	570	719
gene-LOC111501796	3	0	0	19	16	8	15	11	24	18	2	6	2	2	6	4	2	0	0	1	0	0	0	0
gene-LOC111509521	79	56	42	38	39	28	47	12	19	24	120	48	14	8	34	23	41	75	72	50	55	55	49	39
gene-LOC111510127	4	1	0	29	78	28	274	100	69	93	9	19	10	10	47	32	3	0	2	0	0	2	3	2
gene-LOC111511049	18	6	3	1036	1027	1630	1177	1025	794	817	26	1052	533	230	1147	1582	12	15	15	6	7	5	2	3
gene-LOC111511996	15	2	3	31	28	17	312	126	49	27	25	27	9	1	34	48	15	11	12	1	3	2	2	6
gene-LOC111512956	6	5	2	751	758	1110	572	870	584	736	13	814	481	217	994	1463	8	4	8	0	2	2	2	2
gene-LOC111513905	1238	757	809	194	179	206	195	175	191	145	1574	180	88	83	252	328	706	815	978	717	734	838	511	772
gene-LOC111517675	33	28	28	1494	1253	1870	1572	1565	1317	1212	22	1759	817	975	1883	2860	32	28	36	24	10	25	28	24
gene-LOC111514883	19	3	6	5	7	3	5	0	2	7	11	5	1	3	6	7	11	21	16	12	2	4	8	6
gene-LOC111517749	1585	901	980	575	427	539	573	520	399	443	1898	464	277	236	512	816	834	1066	1064	1055	1020	1066	835	966
gene-LOC111517928	6	1	5	0	0	1	0	0	2	1	9	1	0	0	0	2	0	0	2	2	2	2	1	4
gene-LOC111515873	2024	1100	1166	502	329	600	437	328	336	338	3533	348	162	143	321	563	1530	1708	1828	1264	1289	1389	964	1202
gene-LOC111516893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC111517237	548	456	390	126	95	136	129	115	77	106	572	102	61	63	100	126	373	384	428	458	453	584	318	457
gene-LOC111517326	177	103	123	239	212	357	300	349	291	269	313	294	166	188	228	478	210	315	249	132	115	128	93	127
gene-LOC111517402	173	163	143	191	542	1106	5146	415	2142	1647	651	1820	336	469	2032	8332	570	669	442	323	384	266	134	109
gene-LOC111517487	1229	1795	1635	15446	11644	13052	20812	16854	9513	7609	7879	10818	2925	2106	11015	14957	6583	6160	5199	4130	2366	1594	1640	1602
gene-Trnap-cgg	1	1	1	1	0	1	1	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	1	0
gene-LOC111501958	2	1	1	8	7	3	5	26	32	46	0	82	9	11	25	29	1	1	2	1	0	0	5	0
gene-LOC111502096	468	251	314	76	67	83	94	66	76	102	608	137	38	24	122	124	317	341	357	325	347	370	266	309
gene-LOC111502179	35	22	24	4	4	3	5	4	11	12	44	19	5	3	14	11	25	21	46	14	20	9	20	21
gene-LOC111501865	1931	1177	1058	483	436	620	587	452	368	424	2213	506	205	142	455	763	1268	1349	1786	1349	1232	1315	898	1155
gene-LOC111518047	1108	641	762	177	122	154	175	187	134	142	2056	183	86	53	171	277	899	1044	980	802	761	814	572	708
gene-LOC111502272	416	297	351	6861	3904	5361	13849	6557	4871	4981	1839	6128	2011	1312	5081	14909	830	686	989	294	253	278	233	262
gene-LOC111502470	2	3	0	45	34	14	39	3	12	30	3	21	9	4	16	12	0	2	5	0	1	1	1	4
gene-LOC111502533	12562	5987	7453	6487	4188	3248	3995	5315	3212	3637	16914	3681	2881	1554	5125	10338	6339	7171	8376	8259	8308	8254	5198	7635
gene-LOC111502985	3328	1687	1656	1250	868	1201	1215	1415	1070	1173	3215	1260	729	497	1132	2278	1410	1673	1942	2147	1885	2131	1460	1731
gene-LOC111503069	1419	933	1057	492	371	550	499	501	381	376	1829	530	287	177	560	895	999	1112	1252	1195	1080	1178	872	1031
gene-LOC111503161	307	175	165	130	131	143	218	97	108	86	432	135	49	30	152	171	175	234	272	194	171	218	164	165
gene-LOC111503246	172	135	119	546	604	734	842	793	671	700	295	869	365	231	958	1191	101	121	183	130	166	177	97	88
gene-LOC111503332	17	12	6	1006	887	1517	643	690	676	973	27	924	516	244	1129	1210	8	23	12	8	8	14	10	9
gene-LOC111503434	17	19	7	3821	3371	4195	4415	4555	3858	4304	30	3591	1616	845	4475	4845	3	19	9	6	10	6	6	7
gene-LOC111518132	15	4	3	180	161	134	309	329	265	98	18	107	63	25	78	600	6	4	12	2	5	6	4	6
gene-LOC111503511	5	4	4	1	0	0	2	0	3	1	7	2	4	0	2	0	3	2	3	2	0	0	0	1
gene-LOC111503601	2	2	0	2	0	1	2	1	2	1	3	0	0	0	2	0	0	4	3	0	1	1	2	0
gene-LOC111503694	608	379	311	438	325	509	283	461	404	190	689	108	124	59	97	470	392	363	489	353	364	334	293	277
gene-Trnag-gcc	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	2	0	0	0
gene-LOC111504288	50	27	27	10	15	5	9	5	4	22	69	14	4	3	22	11	21	29	41	29	20	28	29	32
gene-LOC111504196	733	482	610	223	166	191	188	206	171	165	944	146	96	51	198	225	479	542	576	701	703	679	446	558
gene-LOC111504098	31	26	11	8	4	7	9	10	5	7	59	8	6	1	9	11	20	33	38	20	18	16	13	11
gene-LOC111504374	10040	6090	6984	2221	1624	2182	1991	2649	1837	2355	5632	3139	2583	1651	3825	4626	2712	3284	3816	7970	7600	8768	6398	6986
